312:60,D,60,60@1:90,311
311:60,D,60,60@1;60,S,59,46@1:127,310
49:58,D,58,58@1;58,S,'12','56'@1:12_cluster_ArifDSM43936-4|04fca8|2224-2237|1652|12_cluster_ArifDSM43936-1-661-Item7-PCP-Item8-Cond_Fill_0,56_cluster_WAC06369|6e6f2f|8312-8325|7641|56_cluster_WAC06369-2953-Item64-PCP-Item65-Cond_Fill_0
46:58,T,22,58@0.35;22,S,21,14@0.35:10,45
45:22,S,21,14@0.35;14,SL,'13',12@0.31;12,S,11,6@0.31:31,44
44:12,S,11,6@0.31;6,SL,4,'70'@0.35;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|7289-7301|9724|70_cluster_TLI55.cluster001-3659-Item31-PCP-Item32-Cond_Fill_0,43
43:'70',D,'70','70'@1;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|4165-4178|9706|70_cluster_TLI55.cluster001-3659-Item22-PCP-Item23-Cond_Fill_0,42
42:'70',D,'70','70'@1;'70',D,'70','70'@1:36,41
41:'70',D,'70','70'@1;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|3118-3131|9700|70_cluster_TLI55.cluster001-3659-Item19-PCP-Item20-Cond_Fill_0,40
40:'70',D,'70','70'@1;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|1036-1049|9688|70_cluster_TLI55.cluster001-3659-Item13-PCP-Item14-Cond_Fill_0,70_cluster_TLI55.cluster001|412004|2079-2093|9694|70_cluster_TLI55.cluster001-3659-Item16-PCP-Item17-Cond_Fill_0
36:'70',D,'70','70'@1;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|5202-5215|9712|70_cluster_TLI55.cluster001-3659-Item25-PCP-Item26-Cond_Fill_0,70_cluster_TLI55.cluster001|412004|6242-6255|9718|70_cluster_TLI55.cluster001-3659-Item28-PCP-Item29-Cond_Fill_0
31:12,S,11,6@0.31;11,SL,'29',9@0.31;9,SL,'02','49'@0.31;'49',D,'49','49'@0.83:49_cluster_WAC1438rc4d|f4aa9d|2152-2164|6554|49_cluster_WAC1438rc4d-2522-Item57-PCP-Item58-Cond_Fill_0,30
30:'49',D,'49','49'@0.83;'49',D,'49','49'@0.83:18,29
29:'49',D,'49','49'@0.83;'49',D,'49','49'@1:25,28
28:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|1044-1059|6478|49_cluster_WAC1438rc4d-2520-Item6-PCP-Item7-Cond_Fill_0,49_cluster_WAC1438rc4d|da5867|6427-6440|6508|49_cluster_WAC1438rc4d-2520-Item21-PCP-Item22-Cond_Fill_0
25:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|3208-3222|6560|49_cluster_WAC1438rc4d-2522-Item60-PCP-Item61-Cond_Fill_0,24
24:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|5336-5350|6572|49_cluster_WAC1438rc4d-2522-Item66-PCP-Item67-Cond_Fill_0,23
23:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|d6be1d|3195-3209|6459|49_cluster_WAC1438rc4d-2521-Item45-PCP-Item46-Cond_Fill_0,49_cluster_WAC1438rc4d|da5867|8562-8576|6520|49_cluster_WAC1438rc4d-2520-Item27-PCP-Item28-Cond_Fill_0
18:'49',D,'49','49'@0.83;'49',T,'49','50'@0.83:49_cluster_WAC1438rc4d|da5867|5343-5355|6502|49_cluster_WAC1438rc4d-2520-Item18-PCP-Item19-Cond_Fill_0,17
17:'49',T,'49','50'@0.83;'50',D,'50','50'@0.96:50_cluster_WAC01529|abd45d|2140-2157|6659|50_cluster_WAC01529-2565-Item8-PCP-Item9-Cond_Fill_0,16
16:'50',D,'50','50'@0.96;'50',T,'13','50'@0.96:13_cluster_AspOK074cluster1|480669|510-525|1770|13_cluster_AspOK074cluster1-686-Item5-PCP-Item6-Cond_Fill_0,50_cluster_WAC01529|abd45d|1073-1093|6653|50_cluster_WAC01529-2565-Item5-PCP-Item6-Cond_Fill_0
10:22,S,21,14@0.35;21,SL,17,20@0.35;20,S,'32','31'@0.91:32_cluster_Ssilaceus-1|7cf6a6|1002-1017|4192|32_cluster_Ssilaceus-1-1651-Item6-PCP-Item7-Cond_Fill_0,9
9:20,S,'32','31'@0.91;'31',D,'31','31'@0.91:31_cluster_SluteocolorNRBC13826|ba0325|1002-1017|4077|31_cluster_SluteocolorNRBC13826-1608-Item6-PCP-Item7-Cond_Fill_0,8
8:'31',D,'31','31'@0.91;'31',D,'31','31'@0.46:31_cluster_SluteocolorNRBC13826|ba0325|2067-2081|4083|31_cluster_SluteocolorNRBC13826-1608-Item9-PCP-Item10-Cond_Fill_0,7
7:'31',D,'31','31'@0.46;'31',T,'32','31'@0.46:32_cluster_Ssilaceus-1|7cf6a6|2067-2081|4198|32_cluster_Ssilaceus-1-1651-Item9-PCP-Item10-Cond_Fill_0,6
6:'31',T,'32','31'@0.46;'31',T,'31','32'@0.46:31_cluster_SluteocolorNRBC13826|ba0325|3130-3144|4089|31_cluster_SluteocolorNRBC13826-1608-Item12-PCP-Item13-Cond_Fill_0,32_cluster_Ssilaceus-1|7cf6a6|3130-3144|4204|32_cluster_Ssilaceus-1-1651-Item12-PCP-Item13-Cond_Fill_0
